date,city,event,reference
3/24/2020,neworleans,Seaside Heights closes all beaches,https://abc7ny.com/coronavirus-nj-new-jersey-news-update-cases-map/5987040
3/24/2020,Worldwide,Tokyo 2020 Olympics officially postponed,https://www.espn.com/olympics/story/_/id/28946033/tokyo-olympics-officially-postponed-2021
3/25/2020,chicago,Chicago Mayor threatens to shut down parks and entire lakefront,https://www.chicagotribune.com/coronavirus/ct-coronavirus-chicago-lakefront-arwady-lightfoot-20200325-feqjcndbmzebrctivt7r4trp3u-story.html
3/25/2020,london,Prince Charles tests positive for COVID-19,https://www.bbc.com/news/uk-52033845
3/25/2020,london,Air raid siren goes off in London,https://www.mirror.co.uk/news/uk-news/coronavirus-mystery-air-raid-siren-21751920
3/25/2020,miami,Miami Mayor announces city curfew,https://www.nbcmiami.com/news/local/city-of-miami-orders-residents-to-shelter-in-place/2210453/
3/25/2020,newjersey,New Jersey Governor announces childcare closings,https://www.nbcphiladelphia.com/news/coronavirus/new-jersey-expands-testing-centers-as-coronavirus-cases-continue-to-rise/2340043
3/26/2020,chicago,"Chicago Mayor closes lakefront, riverwalk, ""606"" trail",https://patch.com/illinois/chicago/mayor-order-chicago-lakefront-adjacent-parks-606-closed
3/26/2020,london,UK Prime Minister tests positive for coronoavirus,https://time.com/5811257/boris-johnson-coronavirus-positive/
3/26/2020,U.S.,U.S. leads in number of known coronavirus cases,https://www.cnn.com/2020/03/26/health/coronavirus-thousand-deaths-thursday/index.html
3/27/2020,fortlauderdale,Broward County Stay-at-Home order goes into effect,https://www.broward.org/CoronaVirus/Documents/BC-EmergencyOrder20-03.pdf
3/27/2020,miami,Miami city curfew goes into effect,https://www.nbcmiami.com/news/local/city-of-miami-orders-residents-to-shelter-in-place/2210453/
3/29/2020,newyork ,New York Governor extends Stay-at-Home order in light of growing death toll,https://www.cnn.com/2020/03/29/us/new-york-coronavirus-cases/index.html
3/29/2020,U.S.,President Trump extends restrictions through end of April,https://www.nytimes.com/2020/03/29/us/politics/trump-coronavirus-guidelines.html?campaign_id=9&emc=edit_NN_p_20200330&instance_id=17179&nl=morning-briefing&regi_id=113478315&section=topNews&segment_id=23277&te=1&user_id=56c07435f669fbc38e3fe4aa0e83bcc4
3/31/2020,michigan,Michigan is 3rd in country for coronavirus deaths,https://www.npr.org/sections/coronavirus-live-updates/2020/03/31/824738996/after-surge-in-cases-michigan-now-3rd-in-country-for-coronavirus-deaths
4/1/2020,florida,Florida Governor announces Stay-at-Home order ,https://www.clickorlando.com/news/local/2020/04/01/coronavirus-florida-governor-issues-statewide-30-day-stay-at-home-order/
4/1/2020,lasvegas,Nevada Governor implements Stay-at-Home order,https://www.ktnv.com/news/coronavirus/gov-sisolak-issues-stay-at-home-order-and-extends-closure
4/1/2020,lasvegas,Las Vegas resorts still taking reservations in May,https://www.usatoday.com/story/travel/news/2020/04/01/coronavirus-las-vegas-resorts-taking-reservations-may/5105764002/
4/1/2020,michigan,Michigan Governor declares state of disaster ,https://www.fox2detroit.com/news/michigan-gov-gretchen-whitmer-extends-state-of-emergency-declares-state-of-disaster-due-to-coronavirus-outbreak
4/1/2020,michigan,"Michigan coronavirus cases reach a total of nearly 10,000",https://www.mlive.com/public-interest/2020/04/michigan-closes-in-on-10000-confirmed-coronavirus-cases-with-largest-single-day-jump.html
4/1/2020,newjersey,New Jersey childcare closings go into effect,https://www.nbcphiladelphia.com/news/coronavirus/new-jersey-expands-testing-centers-as-coronavirus-cases-continue-to-rise/2340043
4/1/2020,newyork,"NYC coronavirus death toll nears 1,400",https://www.nytimes.com/2020/04/01/nyregion/coronavirus-new-york-update.html
4/1/2020,newyork,New York Governor closes playgrounds,http://www.news12.com/story/41896838/gov-cuomo-closes-all-nyc-playgrounds-parks-to-remain-open
4/1/2020,U.S.,President Trump leaves stay-at-home policies to governors,https://www.mlive.com/coronavirus/2020/04/president-trump-resists-national-stay-at-home-order-leaving-decision-to-states.html
4/1/2020,florida,Florida Governor considers religious services as essential services,https://www.abcactionnews.com/news/region-hillsborough/governor-desantis-includes-attending-religious-services-conducted-in-churches-as-essential-services
4/2/2020,michigan,Michigan Governor closes schools for the remainder of the school year,https://www.detroitnews.com/story/news/education/2020/04/02/whitmer-unveil-plan-k-12-school-year-coronavirus/5086179002/
4/3/2020,florida,Florida Stay-at-Home order goes into effect,https://www.clickorlando.com/news/local/2020/04/01/coronavirus-florida-governor-issues-statewide-30-day-stay-at-home-order/
4/5/2020,london,UK Prime Minister admitted to hospital for coronavirus,https://www.politico.com/news/2020/04/05/boris-johnson-admitted-to-hospital-with-covid-19-166708
4/6/2020,newyork,New York Governor extends closure of schools and non-essential businesses through April 29,https://www.wgrz.com/article/news/health/coronavirus/cuomo-nys-will-keep-schools-and-non-essential-businesses-closed-through-april-29-coronavirus-covid-19/71-5700de79-e10b-407c-8e60-1631b3b1ff1d
4/6/2020,newyork,Coronavirus deaths in New York stay flat for 2 days,https://www.nbcnews.com/news/us-news/new-york-coronavirus-deaths-effectively-flat-u-s-braces-peak-n1177626
4/7/2020,newyork,20% of NYPD uniformed workers are out sick,https://www.cnn.com/2020/04/07/us/nypd-coronavirus-out-sick/index.html
4/7/2020,london,UK Prime Minister moved to ICU for coronavirus ,https://www.bbc.com/news/uk-52192604
4/3/2020,U.S.,CDC recommends using cloth face coverings in public,https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/cloth-face-cover.html
4/12/2020,Worldwide,Easter Sunday,
